Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
32GB ,3GB ,,"Móvil - Huawei P Smart, 5.65"", Full HD+, Kirin 659, 3 GB RAM, 32 GB, 13 MP + 2 MP, Oro",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-oro-5.65-full-hd-1391168#specifications,08/25/18 - 18:35:31,Huawei,,,,8 ,1391168.0,195.0,,Android O + EMUI 8 ,"Mas de 5,5” ",424 ppi ,,
32GB ,4GB ,Sí ," Móvil - Samsung Galaxy A8 (2018), 5.6'', Full HD+, 4 GB RAM, 32 GB, 16 MP + 8 MP, Dual Sim, Violeta",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a8-32gb-5.6-violeta-1391175#specifications,08/25/18 - 18:35:32,Samsung,,,,8 ,1391175.0,372.0,5.6 ,7.1.1 ,"Mas de 5,5” ",,,
64GB ,,Sí ,"Móvil - iPhone 8, 64 GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 MP, (PRODUCT)RED",https://tiendas.mediamarkt.es/p/movil-iphone-8-64-gb-red-4g-rojo-1405474#specifications,08/25/18 - 18:35:32,Apple,,,,6 ,1405474.0,773.0,4.7 ,iOS ,"De 4” a 4,9” ","True Tone, IPS ",,
64 ,4 GB ,,"Móvil - BQ Aquaris VS Plus, 5.5"", Full HD, 64 GB, Red 4G, 4 GB RAM, 12 MP + 8 MP, Blanco y oro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-vs-plus-5.5-full-hd-64-1398123#specifications,08/25/18 - 18:35:34,BQ,,,,8 ,1398123.0,217.0,5.5 ,Android 7.1.2 (Nougat) ,,,"2,5D, Multitáctil, 10 puntos capacitiva, GFF, Cristal Dinorex™ (NEG), Tratamiento antihuellas, NTSC 85%, Quantum Color ",
32 GB ,3 GB ,,"Móvil - Samsung Galaxy J6, 5.6"", HD+, 3 GB RAM, 32 GB, Octa-Core, Red 4G, Lavanda",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j6-5.6-hd-3-gb-ram-lavanda-1426782#specifications,08/25/18 - 18:35:34,Samsung,,,,8 ,1426782.0,199.0,5.6 ,Android ,"5.6"" ",,,
16 GB ,2 GB ,,"Móvil - Samsung Galaxy J5 2017, 5.2"" HD, 2 GB RAM, 16 GB, 13 MP, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-j5-2017-5.2-hd-2-gb-ram-1367564#specifications,08/25/18 - 18:35:35,Samsung,,,,8 ,1367564.0,169.0,,Android ,"5.2"" ",,Capacitiva ,
64 GB ,3500 mAh ,Sí ,"Móvil - Samsung Galaxy S8+, 6.2'', QHD+, Octa-Core, 4 GB RAM, Red 4G, 12 MP, 64 GB, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-plus-64-gb-negro-1360795#specifications,08/25/18 - 18:35:37,Samsung,,,,8 ,1360795.0,589.0,6.2 ,,,,,
16 GB ,2 GB ,Sí ,"Móvil - Nokia 5, 5.2'', 2 GB RAM, 16 GB, 13 MP + 8 MP, Negro",https://tiendas.mediamarkt.es/p/movil-nokia-5-negro-5-2-pulgadas-1370531#specifications,08/25/18 - 18:35:38,Nokia,,,,8 ,1370531.0,129.0,5.2 ,Android™ Nougat ,"De 5” a 5,4” ",IPS LCD ,,
16 GB ,Más de 8 GB ,Sí ,"Móvil - Huawei P8 Lite 2017, 5.2'', Full HD, Kirin 655, 3 GB RAM, 16 GB, 4G, 12 MP, Blanco",https://tiendas.mediamarkt.es/p/movil-huawei-p8-lite-2017-de-16-gb-blanco-1354093#specifications,08/25/18 - 18:35:39,Huawei,,,Sí ,8 ,1354093.0,169.0,5.2 ,Android 7.0 + EMUI 5.0 ,,LTPS ,,
32GB ,,Sí ,"Móvil - Apple iPhone 6S Plus, 5.5'', 32GB, Red 4G, Oro rosa",https://tiendas.mediamarkt.es/p/movil-apple-iphone-6s-plus-32gb-pant-1340198#specifications,08/25/18 - 18:35:41,Apple,,,,,1340198.0,549.0,5.5 ,iOS ,"5,5"" ",,,
32 GB ,,,"Móvil - iPhone SE de 32 GB, con red 4G, pantalla retina de 4"" y cámara de 12 mp, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-se-de-32-gb-plateado-1360804#specifications,08/25/18 - 18:35:44,Apple,,,Sí ,,1360804.0,299.0,4 ,iOS 10 ,"4"" ",,,
16 GB ,2 GB ,,"Móvil - Samsung J5 2017, 5.2"" HD, 2 GB RAM, 16 GB, 13 MP, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-j5-2017-5.2-hd-2-gb-ram-1367565#specifications,08/25/18 - 18:35:44,Samsung,,,,8 ,1367565.0,169.0,5.2 ,Android ,"5.2"" ",,Capacitiva ,
32 GB ,,,"Móvil - iPhone SE de 32 GB, con red 4G, pantalla retina de 4"" y cámara de 12 mp, Oro rosa",https://tiendas.mediamarkt.es/p/movil-iphone-se-de-32-gb-oro-rosa-1360806#specifications,08/25/18 - 18:35:45,Apple,,,Sí ,,1360806.0,299.0,4 ,iOS 10 ,"4"" ",,,
32GB ,3GB ,,"Móvil - Huawei P Smart, 5.65"", Full HD+, Kirin 659, 3 GB RAM, 32 GB, 13 MP + 2 MP, Azul",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-azul-5.65-full-hd-1391167#specifications,08/25/18 - 18:35:46,Huawei,,,,8 ,1391167.0,195.0,,Android O + EMUI 8 ,"Mas de 5,5” ",424 ppi ,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy J6, 5.6"", HD+, 3 GB RAM, 32 GB, Octa-Core, Red 4G, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j6-5.6-hd-3-gb-ram-negro-1406846#specifications,08/25/18 - 18:35:48,Samsung,,,,8 ,1406846.0,199.0,5.6 ,Android ,"5.6"" ",,,
64GB ,,Sí ,"Móvil - iPhone 8, 64GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Dorado",https://tiendas.mediamarkt.es/p/movil-iphone-8-64gb-red-4g-lte-pantalla-1376795#specifications,08/25/18 - 18:35:49,Apple,,,,6 ,1376795.0,773.0,4.7 ,iOS ,"De 4” a 4,9” ","True Tone, IPS ",,
