,Almacenamiento interno,Descripcion,Direccion,Fecha,Marca,Precio,Pulgadas
223,32.0,"Móvil - ZTE A610 Plus, 5.5 pulgadas FHD, 4G, 8 núcleos, 32GB, Cámara 13 MP, Plateado",https://tiendas.mediamarkt.es/p/zte-a610-plus-5-5p4g8n32gbs-1348202#specifications,08/25/18 - 18:40:03,ZTE,239.0,5.5
224,32.0,"Móvil - ASUS Zenfone 4 Max, 5.5"" HD, 3GB RAM, Memoria de 32GB, Doble cámara trasera de 13+5 MPx, Cámara delantera 8 MPx, Rosa",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-4-max-5.5-hd-3gb-ram-1376982#specifications,08/25/18 - 18:40:05,Asus,279.0,5.5
225,32.0,"Móvil - Blu R2 LTE, 5.2 pulgadas, Dual Sim, 4G, 32GB, 13Mpx + 13Mpx, Negro",https://tiendas.mediamarkt.es/p/movil-blu-r2-lte-5.2-pulgadas-dual-sim-4g-1389256#specifications,08/25/18 - 18:40:06,Blu,169.0,5.2
226,32.0,"Móvil - Blu R2 LTE, 5.2 pulgadas, Dual Sim, 4G, 32GB, 13Mpx + 13Mpx, Dorado",https://tiendas.mediamarkt.es/p/blu-r2-lte-5-2pds4g4n32gbgd-1389257#specifications,08/25/18 - 18:40:07,Blu,169.0,5.2
227,32.0,"Móvil - Blu Vivo XL 2, 5.5"" HD, Red 4G, 3 GB RAM, 32GB, 13Mpx+8Mpx, Oro",https://tiendas.mediamarkt.es/p/movil-blu-vivo-xl-2-5.5-hd-red-4g-3-gb-1389267#specifications,08/25/18 - 18:40:08,Blu,179.0,5.5
228,64.0,"Móvil - Asus ZENFONE 4 Blanco, 5.5”, 4G, 12+8 MP y 8MP, 64GB interno, 4GB RAM, Qualcomm® Snapdragon™",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-4-blanco-5.5-4g-12y8-1391964#specifications,08/25/18 - 18:40:09,Asus,499.0,5.5
229,64.0,"Móvil - Asus ZENFONE 4 SELFIE PRO Rojo, 5.5”, 4G, 24+5MP frontal y 16MP trasera, 64GB interno. Android 7.0 ",https://tiendas.mediamarkt.es/p/asus-zenf-4-selfie-pro-5-5pds4g8n64-1391968#specifications,08/25/18 - 18:40:10,Asus,399.0,5.5
230,64.0,"Móvil - Sony Xperia XZ2, 5.7'', Full HD+, 4K, HDR, Snapdragon 845, 4 GB RAM, 64 GB, 19 MP + 5 MP, Negro",https://tiendas.mediamarkt.es/p/movil-sony-xperia-xz2-5.7-full-hd-4k-hdr-negro-1401405#specifications,08/25/18 - 18:40:12,Sony,754.0,5.7
231,32.0,"Móvil - Nokia 6.1, 5.5"", Full HD, IPS, Snapdragon 630, 3 GB RAM, 32 GB, 16 MP + 8 MP, Vídeo 4K, Blanco",https://tiendas.mediamarkt.es/p/movil-nokia-6.1-5.5-full-hd-ips-1404166#specifications,08/25/18 - 18:40:14,Nokia,229.0,5.5
232,32.0,"Móvil - LG Q7, 5.5"", Full HD, MediaTek 6750S, 3 GB RAM, 16 MP + 8 MP, Azul",https://tiendas.mediamarkt.es/p/movil-lg-q7-5.5-full-hd-mediatek-6750s-3-1422409#specifications,08/25/18 - 18:40:15,LG,317.0,5.5
233,16.0,"Móvil - Motorola Moto E5 Plus, 6"", HD+, Qualcomm Snapdragon 425, 2GB RAM, 16GB, Cámara 12MP + 5MP, 4G, Lector de huella, Fine gold",https://tiendas.mediamarkt.es/p/movil-motorola-moto-e5-plus-6-hd-1409662#specifications,08/25/18 - 18:40:17,Motorola,164.0,5.5
234,64.0,"Móvil - Asus ZENFONE 4 SELFIE PRO Negro, 5.5”, 4G, 24+5MP frontal y 16MP trasera, 64GB interno. Android 7.0 ",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-4-selfie-pro-negro-1391966#specifications,08/25/18 - 18:40:18,Asus,390.0,5.5
235,64.0,"Móvil - Asus ZENFONE 4 Negro, 5.5”, 4G, 12+8 MP y 8MP, 64GB interno, 4GB RAM, Qualcomm® Snapdragon™ ",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-4-negro-5.5-4g-12-mp-1391962#specifications,08/25/18 - 18:40:19,Asus,452.0,5.5
236,32.0,"Móvil - Blu Vivo XL 2, 5.5"" HD, Red 4G, 3 GB RAM, 32GB, 13Mpx+8Mpx, Azul",https://tiendas.mediamarkt.es/p/movil-blu-vivo-xl-2-5.5-hd-red-4g-3-gb-1389266#specifications,08/25/18 - 18:40:20,Blu,179.0,5.5
237,8.0,"Móvil - Blu Vivo 5 Mini, 4'', 3G, MediaTek 6580, 8 GB, 5 MP, Gris",https://tiendas.mediamarkt.es/p/movil-blu-vivo-5-mini-4-3g-mediatek-6580-1389260#specifications,08/25/18 - 18:40:21,Blu,79.9,4.0
238,64.0,"Móvil - Huawei Mate 10, 5.9'', QHD, Kirin 970, 64 GB, 4 GB RAM, 12 MP + 20 MP, 4K, Dorado",https://tiendas.mediamarkt.es/p/movil-huawei-mate-10-kirin-970-ia-1383121#specifications,08/25/18 - 18:40:22,Huawei,499.0,5.9
239,16.0,"Móvil - ZTE Blade A6, 5.2 Pulgadas, 2 GB RAM, 16 GB, Dorado",https://tiendas.mediamarkt.es/p/movil-zte-blade-a6-5.2-pulgadas-2-gb-ram-1373578#specifications,08/25/18 - 18:40:24,ZTE,169.0,5.2
240,64.0,"Móvil - Motorola Moto Z2 Play, 5.5"", Full HD, Qualcomm Snapdragon 626, 4GB RAM, 64 GB, Cámara 12MP + 5MP, 4G, Dorado",https://tiendas.mediamarkt.es/p/movil-motorola-moto-z2-play-64-gb-5.5-1375396#specifications,08/25/18 - 18:40:25,Motorola,432.0,5.5
241,32.0,"Móvil - LG G6, Pantalla 5.7"" QHD+, Cámara 13 MP Dual, 4 GB RAM, Memoria de 32 GB, Plateado",https://tiendas.mediamarkt.es/p/movil-lg-g6-pantalla-5.7-qhd-camara-13mp-1360879#specifications,08/25/18 - 18:40:26,LG,399.0,5.7
242,32.0,"Móvil - Meizu MX6, red 4G, Dual Sim, 32 GB, Dorado",https://tiendas.mediamarkt.es/p/movil-meizu-mx6-red-4g-32-gb-dorado-1362431#specifications,08/25/18 - 18:40:28,Meizu,189.0,5.5
243,16.0,"Móvil - ZTE Blade V8 Mini, 5 Pulgadas, 2 GB RAM, Dual Sim, 4G, 13Mpx+5Mpx, Dorado",https://tiendas.mediamarkt.es/p/movil-zte-blade-v8-mini-5-pulgadas-dorado-1371224#specifications,08/25/18 - 18:40:29,ZTE,139.0,5.0
244,64.0,"Móvil - Motorola Moto Z2 Play, 5.5"", Full HD, Qualcomm Snapdragon 626, 4GB RAM, 64 GB, Cámara 12MP + 5MP, 4G, Gris",https://tiendas.mediamarkt.es/p/movil-motorola-moto-z2-play-64-gb-5.5-1375395#specifications,08/25/18 - 18:40:30,Motorola,450.0,5.5
